0005 412165 0.964692 0.093964 101.083305	0.003045	1500 1500 1000 950
0005 462519 0.959650 0.079633 101.084404	0.021818	1500 1500 1000 950
0005 512752 0.953340 0.086967 101.084816	0.008202	1500 1500 1000 950
0005 564052 0.933072 0.077488 101.086220	0.027365	1500 1500 1000 950
0005 613155 0.915728 0.058033 101.086449	0.004661	1500 1500 1000 950
0005 663785 0.917200 0.056795 101.086884	0.008589	1500 1500 1000 950
0005 713864 0.909479 0.053006 101.086029	-0.017063	1500 1500 1000 950
0005 766050 0.905234 0.038471 101.086288	0.004971	1500 1500 1000 950
0005 815092 0.923174 0.052090 101.087875	0.032358	1500 1500 1000 950
0005 864745 0.923103 0.055773 101.088699	0.016595	1500 1500 1000 950
0005 915099 0.922677 0.055800 101.089371	0.013333	1500 1500 1000 950
0005 965362 0.921135 0.054465 101.091660	0.045537	1500 1500 1000 950
0006 016297 0.920275 0.055811 101.090614	-0.020521	1500 1500 1000 950
0006 066895 0.918922 0.055447 101.091232	0.012214	1500 1500 1000 950
0006 117006 0.920450 0.056806 101.092514	0.025578	1500 1500 1000 950
0006 167696 0.919904 0.060049 101.093819	0.025737	1500 1500 1000 950
0006 217440 0.920409 0.059747 101.094643	0.016564	1500 1500 1000 950
0006 267917 0.920420 0.060029 101.094467	-0.003476	1500 1500 1000 950
0006 318058 0.921499 0.062224 101.095848	0.027541	1500 1500 1000 950
0006 367954 0.923273 0.063260 101.097755	0.038226	1500 1500 1000 950
0006 418584 0.923904 0.063741 101.099243	0.029384	1500 1500 1000 950
0006 468877 0.923686 0.064371 101.100670	0.028368	1500 1500 1000 950
0006 518987 0.922701 0.064910 101.103188	0.050243	1500 1500 1000 950
0006 590857 0.921493 0.064048 101.108040	0.067515	1500 1500 1000 950
0006 643714 0.919556 0.063582 101.110962	0.055282	1500 1500 1000 950
0006 695106 0.918037 0.064985 101.113983	0.058788	1500 1500 1000 950
0006 749031 0.916505 0.065310 101.115303	0.024476	1500 1500 1000 950
0006 797097 0.914407 0.066460 101.117035	0.036031	1500 1500 1000 950
0006 845865 0.913448 0.066149 101.121796	0.097620	1500 1500 1000 950
0006 896158 0.913697 0.067024 101.125443	0.072512	1500 1500 1000 950
0006 946421 0.913077 0.069451 101.129074	0.072252	1500 1500 1000 950
0006 997264 0.913241 0.072705 101.131302	0.043817	1500 1500 1000 950
0007 049175 0.913057 0.073124 101.136452	0.099205	1500 1500 1000 950
0007 097759 0.913249 0.073048 101.139587	0.064541	1500 1500 1000 950
0007 149457 0.914883 0.074064 101.142982	0.065671	1500 1500 1000 950
0007 198895 0.914865 0.074445 101.147217	0.085649	1500 1500 1000 950
0007 248823 0.914660 0.075430 101.150475	0.065249	1500 1500 1000 950
0007 298658 0.915349 0.075927 101.154045	0.071648	1500 1500 1000 950
0007 349257 0.916163 0.077044 101.157623	0.070717	1500 1500 1000 950
0007 399184 0.916570 0.077871 101.161125	0.070140	1500 1500 1000 950
0007 449722 0.915481 0.078285 101.165298	0.082577	1500 1500 1000 950
0007 499710 0.915018 0.079239 101.170662	0.107295	1500 1500 1000 950
0007 551835 0.914016 0.077640 101.176346	0.109044	1500 1500 1000 950
